日期,時間,狀態
2008年01月08日,07:35pm,新月
2008年01月22日,09:35pm,滿月
2008年02月07日,11:40am,新月
2008年02月21日,11:34am,滿月
2008年03月08日,01:13am,新月
2008年03月22日,02:41am,滿月
2008年04月06日,11:51am,新月
2008年04月20日,06:26pm,滿月
2008年05月05日,08:17pm,新月
2008年05月20日,10:11am,滿月
2008年06月04日,03:23am,新月
2008年06月19日,01:30am,滿月
2008年07月03日,10:21am,新月
2008年07月18日,03:56pm,滿月
2008年08月01日,06:14pm,新月
2008年08月17日,05:13am,滿月
2008年08月31日,04:00am,新月
2008年09月15日,05:09pm,滿月
2008年09月29日,04:15pm,新月
2008年10月15日,04:00am,滿月
2008年10月29日,07:15am,新月
2008年11月13日,02:15pm,滿月
2008年11月28日,12:54am,新月
2008年12月13日,12:37am,滿月
2008年12月27日,08:22pm,新月
2009年01月11日,11:28am,滿月
2009年01月26日,03:53pm,新月
2009年02月09日,10:49pm,滿月
2009年02月25日,09:31am,新月
2009年03月11日,10:41am,滿月
2009年03月27日,12:05am,新月
2009年04月09日,10:56pm,滿月
2009年04月25日,11:18am,新月
2009年05月09日,12:04pm,滿月
2009年05月24日,08:09pm,新月
2009年06月08日,02:12am,滿月
2009年06月23日,03:34am,新月
2009年07月07日,05:21pm,滿月
2009年07月22日,10:35am,新月
2009年08月06日,08:53am,滿月
2009年08月20日,06:02pm,新月
2009年09月05日,12:02am,滿月
2009年09月19日,02:45am,新月
2009年10月04日,02:06pm,滿月
2009年10月18日,01:36pm,新月
2009年11月03日,03:12am,滿月
2009年11月17日,03:15am,新月
2009年12月02日,03:27pm,滿月
2009年12月16日,08:03pm,新月
2010年01月01日,03:11am,滿月
2010年01月15日,03:12pm,新月
2010年01月30日,02:16pm,滿月
2010年02月14日,10:50am,新月
2010年03月01日,12:37am,滿月
2010年03月16日,04:59am,新月
2010年03月30日,10:28am,滿月
2010年04月14日,08:27pm,新月
2010年04月28日,08:20pm,滿月
2010年05月14日,09:00am,新月
2010年05月28日,07:10am,滿月
2010年06月12日,07:12pm,新月
2010年06月26日,07:32pm,滿月
2010年07月12日,03:39am,新月
2010年07月26日,09:38am,滿月
2010年08月10日,11:06am,新月
2010年08月25日,01:04am,滿月
2010年09月08日,06:29pm,新月
2010年09月23日,05:15pm,滿月
2010年10月08日,02:45am,新月
2010年10月23日,09:33am,滿月
2010年11月06日,12:55pm,新月
2010年11月22日,01:26am,滿月
2010年12月06日,01:36am,新月
2010年12月21日,04:09pm,滿月
2011年01月04日,05:05pm,新月
2011年01月20日,05:18am,滿月
2011年02月03日,10:32am,新月
2011年02月18日,04:33pm,滿月
2011年03月05日,04:46am,新月
2011年03月20日,02:10am,滿月
2011年04月03日,10:32pm,新月
2011年04月18日,10:46am,滿月
2011年05月03日,02:48pm,新月
2011年05月17日,07:10pm,滿月
2011年06月02日,05:00am,新月
2011年06月16日,04:15am,滿月
2011年07月01日,04:50pm,新月
2011年07月15日,02:42pm,滿月
2011年07月31日,02:38am,新月
2011年08月14日,02:58am,滿月
2011年08月29日,11:01am,新月
2011年09月12日,05:28pm,滿月
2011年09月27日,07:07pm,新月
2011年10月12日,10:06am,滿月
2011年10月27日,03:56am,新月
2011年11月11日,04:15am,滿月
2011年11月25日,02:11pm,新月
2011年12月10日,10:35pm,滿月
2011年12月25日,02:07am,新月
2012年01月09日,03:26pm,滿月
2012年01月23日,03:42pm,新月
2012年02月08日,05:50am,滿月
2012年02月22日,06:37am,新月
2012年03月08日,05:36pm,滿月
2012年03月22日,10:37pm,新月
2012年04月07日,03:18am,滿月
2012年04月21日,03:19pm,新月
2012年05月06日,11:35am,滿月
2012年05月21日,07:46am,新月
2012年06月04日,07:12pm,滿月
2012年06月19日,11:01pm,新月
2012年07月04日,02:53am,滿月
2012年07月19日,12:20pm,新月
2012年08月02日,11:31am,滿月
2012年08月17日,11:54pm,新月
2012年08月31日,09:59pm,滿月
2012年09月16日,10:07am,新月
2012年09月30日,11:21am,滿月
2012年10月15日,08:00pm,新月
2012年10月30日,03:50am,滿月
2012年11月14日,06:07am,新月
2012年11月28日,10:45pm,滿月
2012年12月13日,04:41pm,新月
2012年12月28日,06:19pm,滿月
2013年01月12日,03:44am,新月
2013年01月27日,12:35pm,滿月
2013年02月10日,03:23pm,新月
2013年02月26日,04:23am,滿月
2013年03月12日,03:53am,新月
2013年03月27日,05:24pm,滿月
2013年04月10日,05:38pm,新月
2013年04月26日,03:55am,滿月
2013年05月10日,08:30am,新月
2013年05月25日,12:22pm,滿月
2013年06月08日,11:56pm,新月
2013年06月23日,07:31pm,滿月
2013年07月08日,03:13pm,新月
2013年07月23日,02:16am,滿月
2013年08月07日,05:48am,新月
2013年08月21日,09:47am,滿月
2013年09月05日,07:34pm,新月
2013年09月19日,07:15pm,滿月
2013年10月05日,08:31am,新月
2013年10月19日,07:41am,滿月
2013年11月03日,08:47pm,新月
2013年11月17日,11:15pm,滿月
2013年12月03日,08:19am,新月
2013年12月17日,05:28pm,滿月
2014年01月01日,07:13pm,新月
2014年01月16日,12:51pm,滿月
2014年01月31日,05:39am,新月
2014年02月15日,07:51am,滿月
2014年03月01日,04:02pm,新月
2014年03月17日,01:07am,滿月
2014年03月31日,02:46am,新月
2014年04月15日,03:38pm,滿月
2014年04月29日,02:18pm,新月
2014年05月15日,03:14am,滿月
2014年05月29日,02:41am,新月
2014年06月13日,12:07pm,滿月
2014年06月27日,04:10pm,新月
2014年07月12日,07:23pm,滿月
2014年07月27日,06:42am,新月
2014年08月11日,02:09am,滿月
2014年08月25日,10:12pm,新月
2014年09月09日,09:40am,滿月
2014年09月24日,02:11pm,新月
2014年10月08日,06:52pm,滿月
2014年10月24日,05:53am,新月
2014年11月07日,06:25am,滿月
2014年11月22日,08:30pm,新月
2014年12月06日,08:28pm,滿月
2014年12月22日,09:32am,新月
2015年01月05日,12:56pm,滿月
2015年01月20日,09:12pm,新月
2015年02月04日,07:10am,滿月
2015年02月19日,07:47am,新月
2015年03月06日,02:05am,滿月
2015年03月20日,05:36pm,新月
2015年04月04日,08:04pm,滿月
2015年04月19日,02:58am,新月
2015年05月04日,11:38am,滿月
2015年05月18日,12:16pm,新月
2015年06月03日,12:18am,滿月
2015年06月16日,10:06pm,新月
2015年07月02日,10:15am,滿月
2015年07月16日,09:27am,新月
2015年07月31日,06:40pm,滿月
2015年08月14日,10:53pm,新月
2015年08月30日,02:34am,滿月
2015年09月13日,02:42pm,新月
2015年09月28日,10:50am,滿月
2015年10月13日,08:04am,新月
2015年10月27日,08:05pm,滿月
2015年11月12日,01:46am,新月
2015年11月26日,06:46am,滿月
2015年12月11日,06:26pm,新月
2015年12月25日,07:13pm,滿月
2016年01月10日,09:26am,新月
2016年01月24日,09:49am,滿月
2016年02月08日,10:38pm,新月
2016年02月23日,02:20am,滿月
2016年03月09日,09:52am,新月
2016年03月23日,08:01pm,滿月
2016年04月07日,07:22pm,新月
2016年04月22日,01:22pm,滿月
2016年05月07日,03:30am,新月
2016年05月22日,05:12am,滿月
2016年06月05日,11:02am,新月
2016年06月20日,07:00pm,滿月
2016年07月04日,07:03pm,新月
2016年07月20日,06:53am,滿月
2016年08月03日,04:47am,新月
2016年08月18日,05:23pm,滿月
2016年09月01日,05:05pm,新月
2016年09月17日,03:03am,滿月
2016年10月01日,08:13am,新月
2016年10月16日,12:20pm,滿月
2016年10月31日,01:38am,新月
2016年11月14日,09:51pm,滿月
2016年11月29日,08:17pm,新月
2016年12月14日,08:07am,滿月
2016年12月29日,02:50pm,新月
2017年01月12日,07:35pm,滿月
2017年01月28日,08:03am,新月
2017年02月11日,08:36am,滿月
2017年02月26日,10:57pm,新月
2017年03月12日,10:54pm,滿月
2017年03月28日,10:53am,新月
2017年04月11日,02:10pm,滿月
2017年04月26日,08:14pm,新月
2017年05月11日,05:43am,滿月
2017年05月26日,03:44am,新月
2017年06月09日,09:09pm,滿月
2017年06月24日,10:32am,新月
2017年07月09日,12:04pm,滿月
2017年07月23日,05:47pm,新月
2017年08月08日,02:09am,滿月
2017年08月22日,02:31am,新月
2017年09月06日,02:58pm,滿月
2017年09月20日,01:33pm,新月
2017年10月06日,02:38am,滿月
2017年10月20日,03:13am,新月
2017年11月04日,01:19pm,滿月
2017年11月18日,07:43pm,新月
2017年12月03日,11:46pm,滿月
2017年12月18日,02:31pm,新月
2018年01月02日,10:24am,滿月
2018年01月17日,10:17am,新月
2018年01月31日,09:26pm,滿月
2018年02月16日,05:05am,新月
2018年03月02日,08:51am,滿月
2018年03月17日,09:11pm,新月
2018年03月31日,08:36pm,滿月
2018年04月16日,09:57am,新月
2018年04月30日,08:58am,滿月
2018年05月15日,07:47pm,新月
2018年05月29日,10:19pm,滿月
2018年06月14日,03:43am,新月
2018年06月28日,12:53pm,滿月
2018年07月13日,10:47am,新月
2018年07月28日,04:20am,滿月
2018年08月11日,05:57pm,新月
2018年08月26日,07:56pm,滿月
2018年09月10日,02:01am,新月
2018年09月25日,10:52am,滿月
2018年10月09日,11:46am,新月
2018年10月25日,12:45am,滿月
2018年11月08日,12:02am,新月
2018年11月23日,01:39pm,滿月
2018年12月07日,03:20pm,新月
2018年12月23日,01:48am,滿月
2019年01月06日,09:28am,新月
2019年01月21日,01:16pm,滿月
2019年02月05日,05:03am,新月
2019年02月19日,11:53pm,滿月
2019年03月07日,12:03am,新月
2019年03月21日,09:42am,滿月
2019年04月05日,04:50pm,新月
2019年04月19日,07:12pm,滿月
2019年05月05日,06:45am,新月
2019年05月19日,05:11am,滿月
2019年06月03日,06:01pm,新月
2019年06月17日,04:30pm,滿月
2019年07月03日,03:16am,新月
2019年07月17日,05:38am,滿月
2019年08月01日,11:11am,新月
2019年08月15日,08:29pm,滿月
2019年08月30日,06:37pm,新月
2019年09月14日,12:32pm,滿月
2019年09月29日,02:26am,新月
2019年10月14日,05:07am,滿月
2019年10月28日,11:38am,新月
2019年11月12日,09:34pm,滿月
2019年11月26日,11:05pm,新月
2019年12月12日,01:12pm,滿月
2019年12月26日,01:13pm,新月
2020年01月11日,03:21am,滿月
2020年01月25日,05:42am,新月
2020年02月09日,03:33pm,滿月
2020年02月23日,11:32pm,新月
2020年03月10日,01:47am,滿月
2020年03月24日,05:28pm,新月
2020年04月08日,10:35am,滿月
2020年04月23日,10:25am,新月
2020年05月07日,06:45pm,滿月
2020年05月23日,01:38am,新月
2020年06月06日,03:12am,滿月
2020年06月21日,02:41pm,新月
2020年07月05日,12:44pm,滿月
2020年07月21日,01:32am,新月
2020年08月03日,11:58pm,滿月
2020年08月19日,10:41am,新月
2020年09月02日,01:22pm,滿月
2020年09月17日,07:00pm,新月
2020年10月02日,05:05am,滿月
2020年10月17日,03:31am,新月
2020年10月31日,10:49pm,滿月
2020年11月15日,01:07pm,新月
2020年11月30日,05:29pm,滿月
2020年12月15日,12:16am,新月
2020年12月30日,11:28am,滿月
2021年01月13日,01:00pm,新月
2021年01月29日,03:16am,滿月
2021年02月12日,03:05am,新月
2021年02月27日,04:17pm,滿月
2021年03月13日,06:21pm,新月
2021年03月29日,02:48am,滿月
2021年04月12日,10:30am,新月
2021年04月27日,11:31am,滿月
2021年05月12日,02:59am,新月
2021年05月26日,07:13pm,滿月
2021年06月10日,06:52pm,新月
2021年06月25日,02:39am,滿月
2021年07月10日,09:16am,新月
2021年07月24日,10:36am,滿月
2021年08月08日,09:49pm,新月
2021年08月22日,08:02pm,滿月
2021年09月07日,08:51am,新月
2021年09月21日,07:54am,滿月
2021年10月06日,07:05pm,新月
2021年10月20日,10:56pm,滿月
2021年11月05日,05:14am,新月
2021年11月19日,04:57pm,滿月
2021年12月04日,03:42pm,新月
2021年12月19日,12:35pm,滿月
2022年01月03日,02:33am,新月
2022年01月18日,07:48am,滿月
2022年02月01日,01:46pm,新月
2022年02月17日,12:56am,滿月
2022年03月03日,01:34am,新月
2022年03月18日,03:17pm,滿月
2022年04月01日,02:24pm,新月
2022年04月17日,02:54am,滿月
2022年05月01日,04:28am,新月
2022年05月16日,12:14pm,滿月
2022年05月30日,07:30pm,新月
2022年06月14日,07:51pm,滿月
2022年06月29日,10:52am,新月
2022年07月14日,02:37am,滿月
2022年07月29日,01:54am,新月
2022年08月12日,09:35am,滿月
2022年08月27日,04:17pm,新月
2022年09月10日,05:59pm,滿月
2022年09月26日,05:54am,新月
2022年10月10日,04:54am,滿月
2022年10月25日,06:48pm,新月
2022年11月08日,07:02pm,滿月
2022年11月24日,06:57am,新月
2022年12月08日,12:08pm,滿月
2022年12月23日,06:16pm,新月
2023年01月07日,07:07am,滿月
2023年01月22日,04:53am,新月
2023年02月06日,02:28am,滿月
2023年02月20日,03:05pm,新月
2023年03月07日,08:40pm,滿月
2023年03月22日,01:23am,新月
2023年04月06日,12:34pm,滿月
2023年04月20日,12:12pm,新月
2023年05月06日,01:33am,滿月
2023年05月19日,11:53pm,新月
2023年06月04日,11:41am,滿月
2023年06月18日,12:37pm,新月
2023年07月03日,07:38pm,滿月
2023年07月18日,02:31am,新月
2023年08月02日,02:31am,滿月
2023年08月16日,05:38pm,新月
2023年08月31日,09:35am,滿月
2023年09月15日,09:39am,新月
2023年09月29日,05:57pm,滿月
2023年10月15日,01:55am,新月
2023年10月29日,04:24am,滿月
2023年11月13日,05:27pm,新月
2023年11月27日,05:16pm,滿月
2023年12月13日,07:31am,新月
2023年12月27日,08:33am,滿月
2024年01月11日,07:57pm,新月
2024年01月26日,01:54am,滿月
2024年02月10日,06:59am,新月
2024年02月24日,08:30pm,滿月
2024年03月10日,05:00pm,新月
2024年03月25日,03:00pm,滿月
2024年04月09日,02:20am,新月
2024年04月24日,07:48am,滿月
2024年05月08日,11:22am,新月
2024年05月23日,09:52pm,滿月
2024年06月06日,08:37pm,新月
2024年06月22日,09:07am,滿月
2024年07月06日,06:57am,新月
2024年07月21日,06:17pm,滿月
2024年08月04日,07:13pm,新月
2024年08月20日,02:25am,滿月
2024年09月03日,09:55am,新月
2024年09月18日,10:34am,滿月
2024年10月03日,02:49am,新月
2024年10月17日,07:26pm,滿月
2024年11月01日,08:47pm,新月
2024年11月16日,05:28am,滿月
2024年12月01日,02:21pm,新月
2024年12月15日,05:01pm,滿月
2024年12月31日,06:26am,新月
2025年01月14日,06:27am,滿月
2025年01月29日,08:35pm,新月
2025年02月12日,09:53pm,滿月
2025年02月28日,08:44am,新月
2025年03月14日,02:54pm,滿月
2025年03月29日,06:57pm,新月
2025年04月13日,08:22am,滿月
2025年04月28日,03:31am,新月
2025年05月13日,12:55am,滿月
2025年05月27日,11:02am,新月
2025年06月11日,03:43pm,滿月
2025年06月25日,06:31pm,新月
2025年07月11日,04:36am,滿月
2025年07月25日,03:11am,新月
2025年08月09日,03:54pm,滿月
2025年08月23日,02:06pm,新月
2025年09月08日,02:08am,滿月
2025年09月22日,03:54am,新月
2025年10月07日,11:47am,滿月
2025年10月21日,08:25pm,新月
2025年11月05日,09:19pm,滿月
2025年11月20日,02:47pm,新月
2025年12月05日,07:14am,滿月
2025年12月20日,09:43am,新月
2026年01月03日,06:02pm,滿月
2026年01月19日,03:51am,新月
2026年02月02日,06:09am,滿月
2026年02月17日,08:01pm,新月
2026年03月03日,07:37pm,滿月
2026年03月19日,09:23am,新月
2026年04月02日,10:11am,滿月
2026年04月17日,07:51pm,新月
2026年05月02日,01:23am,滿月
2026年05月17日,04:00am,新月
2026年05月31日,04:45pm,滿月
2026年06月15日,10:54am,新月
2026年06月30日,07:56am,滿月
2026年07月14日,05:43pm,新月
2026年07月29日,10:35pm,滿月
2026年08月13日,01:36am,新月
2026年08月28日,12:18pm,滿月
2026年09月11日,11:27am,新月
2026年09月27日,12:48am,滿月
2026年10月10日,11:50pm,新月
2026年10月26日,12:11pm,滿月
2026年11月09日,03:02pm,新月
2026年11月24日,10:53pm,滿月
2026年12月09日,08:51am,新月
2026年12月24日,09:28am,滿月
2027年01月08日,04:24am,新月
2027年01月22日,08:17pm,滿月
2027年02月06日,11:56pm,新月
2027年02月21日,07:23am,滿月
2027年03月08日,05:29pm,新月
2027年03月22日,06:43pm,滿月
2027年04月07日,07:50am,新月
2027年04月21日,06:27am,滿月
2027年05月06日,06:58pm,新月
2027年05月20日,06:58pm,滿月
2027年06月05日,03:40am,新月
2027年06月19日,08:44am,滿月
2027年07月04日,11:01am,新月
2027年07月18日,11:44pm,滿月
2027年08月02日,06:05pm,新月
2027年08月17日,03:28pm,滿月
2027年09月01日,01:41am,新月
2027年09月16日,07:03am,滿月
2027年09月30日,10:36am,新月
2027年10月15日,09:46pm,滿月
2027年10月29日,09:36pm,新月
2027年11月14日,11:25am,滿月
2027年11月28日,11:24am,新月
2027年12月14日,12:08am,滿月
2027年12月28日,04:12am,新月
2028年01月12日,12:02pm,滿月
2028年01月26日,11:12pm,新月
2028年02月10日,11:03pm,滿月
2028年02月25日,06:37pm,新月
2028年03月11日,09:06am,滿月
2028年03月26日,12:31pm,新月
2028年04月09日,06:26pm,滿月
2028年04月25日,03:46am,新月
2028年05月09日,03:48am,滿月
2028年05月24日,04:16pm,新月
2028年06月07日,02:08pm,滿月
2028年06月23日,02:27am,新月
2028年07月07日,02:10am,滿月
2028年07月22日,11:01am,新月
2028年08月05日,04:09pm,滿月
2028年08月20日,06:43pm,新月
2028年09月04日,07:47am,滿月
2028年09月19日,02:23am,新月
2028年10月04日,12:24am,滿月
2028年10月18日,10:56am,新月
2028年11月02日,05:17pm,滿月
2028年11月16日,09:18pm,新月
2028年12月02日,09:40am,滿月
2028年12月16日,10:06am,新月
2029年01月01日,12:48am,滿月
2029年01月15日,01:24am,新月
2029年01月30日,02:03pm,滿月
2029年02月13日,06:31pm,新月
2029年03月01日,01:10am,滿月
2029年03月15日,12:19pm,新月
2029年03月30日,10:26am,滿月
2029年04月14日,05:40am,新月
2029年04月28日,06:36pm,滿月
2029年05月13日,09:42pm,新月
2029年05月28日,02:37am,滿月
2029年06月12日,11:50am,新月
2029年06月26日,11:22am,滿月
2029年07月11日,11:50pm,新月
2029年07月25日,09:35pm,滿月
2029年08月10日,09:55am,新月
2029年08月24日,09:51am,滿月
2029年09月08日,06:44pm,新月
2029年09月23日,12:29am,滿月
2029年10月08日,03:14am,新月
2029年10月22日,05:27pm,滿月
2029年11月06日,12:24pm,新月
2029年11月21日,12:02pm,滿月
2029年12月05日,10:52pm,新月
2029年12月21日,06:46am,滿月
